update/episode	update/cum_cost	train/reward	train/cost	train/length	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/actor_rew	loss/actor_total	loss/vf0	loss/vf1	loss/vf_total	loss/total	loss/entropy	update/gradient_steps	test/reward	test/cost	test/length	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed
104.0	459.13998986191774	-394.79314562251164	4.409432170554586	107.24999999999999	1.0	0.0	0.0	-0.013721387514777013	-0.013721387514777013	5944.490923200337	2.097269271952765	5946.588206263951	1486.6333251953129	11.2821063722883	73.66666666666667	923.2512847541508	0.23110860399901867	1000.0	12.001696825027466	1.348818302154541	2965.558810709035	9.719746351242065	0.9331321716308594	1941.9164459242345
280.0	1239.318349307182	-437.17309713728207	4.490080362149456	125.5	1.0	0.0	0.0	-0.0072276004305961705	-0.0072276004305961705	3805.055071662454	1.910633598618648	3806.9657099106744	951.7341997483201	11.193305176847113	216.0	895.9454922132409	0.2418413981795311	1000.0	23.645140409469604	2.7175183296203613	2943.8623882686393	19.126986742019653	1.8006353378295898	1951.3444883602456
448.0	2040.97983690247	-396.7261316386745	4.723242776220353	116.63636363636364	1.0	0.0	0.0	-0.01262214286627061	-0.01262214286627061	3931.4323895428624	2.0569075317801664	3933.489297402869	983.3597028577648	11.128770196760021	348.7272727272727	324.21361755791236	0.8582925807277206	366.0	36.225990772247314	3.7504913806915283	2523.935943096242	29.773446083068848	2.7020533084869385	1892.380445302087
624.0	2752.0875951261205	-413.626096368642	4.128383224144768	121.18181818181817	1.0	0.0	0.0	-0.012405915295047672	-0.012405915295047672	4542.594452729097	1.5362908848234125	4544.130735655087	1136.020282229862	11.010178578866494	497.45454545454544	840.9712241532096	1.5980343110859394	1000.0	48.263548612594604	5.142706394195557	2618.4656419815715	39.50192594528198	3.6189162731170654	1922.5737656076317
784.0	3471.0922251546867	-455.79423310635065	4.411718422127807	139.66666666666666	1.0	0.0	0.0	-0.013681328918004764	-0.013681328918004764	3879.298927307128	1.6910907924175265	3880.990015665689	970.2338218688965	10.86885729763243	652.8888888888889	390.0904460073442	1.8762713829200948	444.0	59.29594302177429	6.129246950149536	2486.928675573777	48.674625396728516	4.49207067489624	1938.6196174602771
944.0	4115.362000693514	-373.01140078634364	3.8262489064988836	118.09090909090911	1.0	0.0	0.0	-0.014419330065727185	-0.014419330065727185	3602.1329221983224	1.7906282596491474	3603.923552641999	900.9664700482344	10.727231264114378	794.1818181818182	710.2377040212751	0.8853822505334392	800.0	72.78640723228455	7.401443004608154	2491.8113925240455	59.9842426776886	5.400721549987793	1895.8028266004774
1128.0	4823.282467742634	-362.31956424021814	3.902799244075747	117.58333333333334	1.0	0.0	0.0	-0.013648176972164982	-0.013648176972164982	3196.160787482011	1.7037191430204788	3197.86450115003	799.4524771037853	10.580374316165326	941.6666666666667	922.6079299921479	1.0968102319166064	1000.0	86.15467715263367	8.79804015159607	2550.9090221563233	71.00246047973633	6.3541765213012695	1895.3512676363296
1344.0	5638.543720894203	-254.13316889592667	3.66232841770252	84.40000000000002	1.0	0.0	0.0	-0.012930961499724569	-0.012930961499724569	3640.934142194475	2.5126379013061535	3643.4467790876124	910.8487675258091	10.439469092232844	1093.8666666666666	360.7169390287113	0.8127069105394185	427.0	98.65962958335876	9.91202974319458	2436.7360294275763	81.50275778770447	7.244842052459717	1881.7072270209471
1568.0	6489.465702313021	-304.0377773982161	3.9729857085579936	103.38461538461539	1.0	0.0	0.0	-0.0138670517076222	-0.0138670517076222	2581.324373881023	2.254803752733602	2583.5791710747612	645.8809259202744	10.33376395702362	1221.5384615384614	28.824414083644267	0.2595816161483526	39.0	111.16398644447327	10.001883506774902	2430.742168065841	93.00135779380798	8.16074514389038	1864.3147435967187
1768.0	7330.971861773694	-334.21504425234906	4.1910984224781105	116.91666666666666	1.0	0.0	0.0	-0.01524974975572258	-0.01524974975572258	2390.126097026625	1.5435968372774747	2391.6696937962583	597.9021728917172	10.216291283306319	1370.0	195.51626854738805	1.7629800221184269	298.0	123.16827058792114	11.00965142250061	2316.512941352262	103.02547216415405	9.13314700126648	1882.548140937683
1992.0	8244.173136480531	-226.9174978053251	4.0665378740565075	82.6875	1.0	0.0	0.0	-0.01316953915120498	-0.01316953915120498	2670.3758485582125	2.6389369563096086	2673.01480356852	668.2405338287355	10.10194899638494	1525.0	425.6791045644115	3.4793307061772794	607.0	136.14949107170105	12.24995493888855	2280.4165516819908	113.83817768096924	10.061358451843262	1875.7697345280965
2224.0	9256.963251836652	-260.3545112539449	4.826167051031287	97.46153846153847	1.0	0.0	0.0	-0.01331152522953721	-0.01331152522953721	2044.4521956010296	2.440312506123024	2046.8925041429916	511.7098150542289	9.973608623851431	1670.7692307692307	26.51603852776801	1.2556636810768396	55.0	146.32125210762024	12.371210813522339	2275.9292056703225	123.02429604530334	10.925745248794556	1887.1812024677467
2456.0	10251.224090060057	-231.36024474033152	3.960726808227605	87.8125	1.0	0.0	0.0	-0.013468674858187344	-0.013468674858187344	2013.6124853185713	2.045755504756361	2015.6582410657725	503.9010927354967	9.87855225640374	1805.25	142.56072492096098	9.80748455983121	328.0	161.06499671936035	13.425977230072021	2195.0729913342707	135.74987030029297	11.889149188995361	1865.252159981867
2768.0	11432.671541014783	-151.09628993476136	3.7988901677253244	57.0	1.0	0.0	0.0	-0.008426793731679635	-0.008426793731679635	1987.678643303949	3.5326699860192643	1991.2113090721323	497.79440091107347	9.809684618099318	1939.130434782609	38.19537008339463	10.000115581555292	90.0	172.36616373062134	13.631892442703247	2188.3975482779133	145.867329120636	12.866942167282104	1868.254395184111
3136.0	12902.284145923359	-144.3782682501396	3.8971811161025713	55.65217391304348	1.0	0.0	0.0	-0.0096845850368651	-0.0096845850368651	1866.076466279871	3.483026514158529	1869.559495813706	467.3801891102509	9.725630192195668	2095.6521739130435	33.36648858215955	3.9780691312626004	69.0	185.32621932029724	13.797001838684082	2182.2132338623805	157.73940348625183	13.789813995361328	1849.1426980012889
3560.0	14531.92867541805	-111.81611703241879	3.9130148615339446	42.333333333333336	1.0	0.0	0.0	-0.008410456515756214	-0.008410456515756214	1754.590807669504	4.877987109337535	1759.4687979561936	439.8587899344309	9.658112859725952	2231.733333333334	1.4383837027283541	0.7588168457150459	20.0	195.8659679889679	13.838465690612793	2181.600234806315	167.26308679580688	14.764415502548218	1855.2086675698545
4104.0	16542.957267592064	-90.48761291942934	3.344239918335102	32.447368421052644	1.0	0.0	0.0	-0.01081656661847507	-0.01081656661847507	1180.6444337426158	4.68319671837295	1185.3276337414254	296.321092140384	9.543195230204882	2389.3684210526317	-11.383216385522257	2.2002853378653526	22.0	205.04248642921448	13.872658014297485	2182.7107659392113	175.32611536979675	15.84371304512024	1871.1425488316659
4752.0	18713.673296430712	-87.72493424695763	3.4750999046328763	29.883720930232553	1.0	0.0	0.0	-0.01062763218166035	-0.01062763218166035	1273.414059032094	5.474472791633821	1278.888532465154	319.7115066701716	9.352245693857023	2552.093023255814	-5.591677546493949	0.9295477494597435	20.0	214.44267511367798	13.920523881912231	2181.096074943786	183.53617119789124	16.98598003387451	1888.000890048432
5424.0	21025.06489352634	-89.90812421201713	3.3528502971940473	30.146341463414622	1.0	0.0	0.0	-0.00964845190861555	-0.00964845190861555	1231.9960783137835	5.446301420067632	1237.4423822802162	309.35094651510536	9.159267126127732	2730.3414634146334	-6.315936397224541	2.1195192271843553	24.0	224.38479614257812	13.960896492004395	2181.6650540632354	192.33823227882385	18.085667371749878	1894.59942840154
6128.0	23190.21938297567	-74.86196828271851	3.0490487649342657	26.276595744680858	1.0	0.0	0.0	-0.011496091051994532	-0.011496091051994532	1011.0302473027656	5.588048189878466	1016.6182966841031	254.1430777691781	8.941970738958801	2908.0	-16.45715373165066	1.0375914113101317	21.0	233.00180864334106	13.994760513305664	2182.3881852756163	199.73401427268982	19.27303385734558	1912.2398277855475
6936.0	25538.05328335368	-65.43469749395993	2.7803408961595037	22.907407407407405	1.0	0.0	0.0	-0.011824524492342907	-0.011824524492342907	872.5185493741715	6.684803647122212	879.2033527238024	219.78901331765297	8.684836890016278	3113.7037037037035	1.182607958808585	5.722667079418898	17.0	242.22681045532227	14.032989978790283	2181.2885241323847	207.56755089759827	20.626269578933716	1923.5665500641473
7840.0	27986.37191276733	-58.23920010460153	2.482276791230785	20.83050847457627	1.0	0.0	0.0	-0.012238790785595047	-0.012238790785595047	677.0935189565025	4.891289071490369	681.9848074595133	170.48396368026732	8.373135797182714	3346.9830508474574	-4.662399965067591	0.6941405981779099	8.0	251.42193603515625	14.046375274658203	2181.4880637058604	215.3332908153534	22.042269945144653	1934.0365053974765
8816.0	30301.901924790167	-54.73048138971535	2.2030524176668793	19.539682539682538	1.0	0.0	0.0	-0.011545549967645546	-0.011545549967645546	651.9689054635855	4.873094478020302	656.8420014601492	164.19895494901223	8.047738478733942	3593.5238095238096	-7.270150816060682	0.2780725359916687	7.0	261.54916524887085	14.060133218765259	2181.5582770625883	223.9346568584442	23.554375171661377	1936.6070329197348
9848.0	32588.15454434688	-46.43557628751453	2.26898183660303	18.545454545454557	1.0	0.0	0.0	-0.012938745320181966	-0.012938745320181966	527.1892344062005	5.3356479108333605	532.524880992832	133.11828135020684	7.786393252771293	3859.6363636363635	-2.3899530027479567	1.1485524773597717	7.0	271.23014307022095	14.07326340675354	2181.725667499809	232.06752705574036	25.08935260772705	1941.8885493303108
11000.0	34956.73237101209	-35.466020717714095	1.9240882665499859	15.589743589743595	1.0	0.0	0.0	-0.014575081474367048	-0.014575081474367048	380.82109791719466	3.937969470514524	384.75906844078764	96.17519183702112	7.434494878672345	4151.743589743591	-4.798227912642341	1.3714696615934372	8.0	280.98255586624146	14.086914539337158	2181.8830457280706	240.08208847045898	26.813552856445312	1946.022787850015
12184.0	37555.35263568756	-35.739807510283164	2.5941065904563785	18.000000000000004	1.0	0.0	0.0	-0.012982803314325142	-0.012982803314325142	392.9625533676147	6.213512644767763	399.17606721242254	99.78103417396537	6.961930743853254	4452.914285714287	-2.2583223858754513	1.3890841454267502	7.0	292.9467554092407	14.101656436920166	2181.8004244840035	250.36170101165771	28.483397960662842	1936.8208442265293
